user_id,time,text,resp.text,resp.time,hotel_id
109071140949884647429,1606245620874,My favorite place to go get my hair done. The best stylist here does mine. ☺,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
113617536082256212462,1557931791017,Awesome people very friendly and helpful and very good at doing hair will go back there when I need something done to my hair,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
103813393235854463271,1554078577109,I love my beautician and everyone is very friendly,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
112781475872805095474,1562416232024,They did a good job on my hair,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
105510821707376612524,1553628414285,I just left with my little sister they claim they do walkins 2 customers being attended to while other employees in the back talking,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
117893860025084510529,1594665332069,Hannah is the best,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
110389640984511793104,1540815822598,Always get a good haircut,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
115547802033064566722,1607805441339,Dana is a SUPER stylist!!!!!,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
101651028402044977838,1521968003499,Loved this place,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
101591160988958001836,1541534016569,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
112786485907313270273,1529982447316,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
102587716080771720025,1562358505978,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
111026340926203569195,1597770985559,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
107700348363038453203,1576268000909,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
115290298916751494005,1603230748249,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
106804475602273359529,1531111479453,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
115864939962911212605,1566349736921,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
114357225125123707731,1558549531976,,,,0x87d67b8f15387af5:0xb37faf1c6cd760f6
105876289968717291652,1615576717532,Confused for a minute but then found out where we needed to go by one phone call,Thanks for taking the time to review! We appreciate your business.,1616709385331.0,0x87cef55019ef0925:0x6ab3cb9a78de30eb
110290399427133184898,1620396939003,"Plenty of room, clean bathrooms.",Thanks for your review and thanks for your business!,1620669176605.0,0x87cef55019ef0925:0x6ab3cb9a78de30eb
117706649954099279075,1615978699989,Nice clean modern building,Thanks for taking the time to leave a review! We appreciate your business!,1615984384012.0,0x87cef55019ef0925:0x6ab3cb9a78de30eb
115722356977212344908,1524384167974,Great place got my GED here and they helped me get into college and financial aid,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
115040529919045421259,1505874366166,Very nice and very accommodating...,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
106125574868928699437,1523112976835,Conference Center good meeting space!!!,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
104938133625741700075,1583885166734,Good place,Thank you for visiting.  We hope we can assist you in the future,1583953785606.0,0x87cef55019ef0925:0x6ab3cb9a78de30eb
111906599988551599279,1520650898983,Nice place!,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
102856163303227745523,1596311145684,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
102554362645819789086,1578181535147,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
110290718286661107441,1598108877893,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
107122566638863095824,1581640302690,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
116892447035662741702,1624544038012,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
114305518207153050025,1592351407647,,,,0x87cef55019ef0925:0x6ab3cb9a78de30eb
104922628007603714656,1620787606544,Excellent,,,0x87cc4a2045d61cf9:0x6fff53e70b6b31fc
104141759192213683870,1466707311869,The best canoe experience I had was on Piney.....two thumbs up. An awesome view of the mountains.,,,0x87cc4a2045d61cf9:0x6fff53e70b6b31fc
102714186037080955456,1542900633127,Great people and a gorgeous place to kayak!,,,0x87cc4a2045d61cf9:0x6fff53e70b6b31fc
112682368640729343090,1493507070135,Great People and will be honest about your safety on the river.,,,0x87cc4a2045d61cf9:0x6fff53e70b6b31fc
105353269668621907276,1524419836769,"Very friendly staff, nice restrooms with showers.",,,0x87cc4a2045d61cf9:0x6fff53e70b6b31fc
